pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,PAINS_detail,Brenk_alert,pass_admet
S1_site680,CHEMBL256997,ATALUREN,-20.28,3.17,101,0.966,4.03,4.84,284.06,3.24,76.2,1.0,4.0,21,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,3,0,-0.496,0,,0,1
S1_site680,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-20.27,2.67,101,0.676,3.76,4.51,403.18,3.72,48.0,0.0,5.0,30,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,3,0,-0.006,0,,0,1
S3_site473,CHEMBL1201754,RUFINAMIDE,-20.2,3.79,101,1.188,4.6,5.52,238.07,0.7,73.8,1.0,3.0,17,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,3,0,-0.847,0,,0,1
S1_site1813,CHEMBL654,MIRTAZAPINE,-20.13,3.32,101,1.007,4.84,5.81,265.16,2.48,19.4,0.0,3.0,20,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0,0,0.229,0,,0,1
S3_site473,CHEMBL797,PHENSUXIMIDE,-20.08,3.19,101,1.435,5.0,6.0,189.08,1.16,37.4,0.0,2.0,14,CN1C(=O)CC(c2ccccc2)C1=O,1,0,-0.238,0,,1,1
S1_site680,CHEMBL494753,ESTRONE SULFURIC ACID,-20.02,3.29,101,0.834,3.91,4.7,350.12,3.29,80.7,1.0,4.0,24,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,2,0,-0.555,0,,1,1
S1_site688,CHEMBL3137320,TALAZOPARIB,-20.0,2.88,101,0.714,3.67,4.41,380.12,2.63,88.5,2.0,5.0,28,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,2,0,-0.771,0,,0,1
S1_site1813,CHEMBL1479,DANAZOL,-19.89,2.74,101,0.796,3.48,4.18,337.2,4.22,46.3,1.0,3.0,25,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0,0,0.095,0,,1,0
S3_site473,CHEMBL1479,DANAZOL,-19.89,3.64,101,0.796,3.48,4.18,337.2,4.22,46.3,1.0,3.0,25,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0,0,0.095,0,,1,0
S1_site688,CHEMBL1162,NORETHINDRONE,-19.73,2.11,101,0.897,4.09,4.91,298.19,3.49,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,0,0.117,0,,1,0
S1_site1813,CHEMBL5315055,NALMEFENE HYDROCHLORIDE DIHYDRATE,-19.69,2.55,101,0.788,4.33,5.2,339.18,2.51,52.9,2.0,4.0,25,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,2,0,-0.262,0,,1,0
S1_site688,CHEMBL1387,NORETHYNODREL,-19.6,2.89,101,0.891,3.97,4.76,298.19,3.64,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,0,0.14,0,,1,0
S3_site473,CHEMBL1214124,PERAMPANEL,-19.56,2.61,101,0.725,3.47,4.16,349.12,4.44,58.7,0.0,3.0,27,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,3,0,-0.055,0,,0,0
S3_site473,CHEMBL1371,CHLORZOXAZONE,-19.36,2.33,101,1.76,4.83,5.8,168.99,1.77,46.0,1.0,2.0,11,O=c1[nH]c2cc(Cl)ccc2o1,0,0,-0.273,0,,0,0
S1_site1813,CHEMBL691,ETHINYL ESTRADIOL,-19.33,3.11,101,0.879,3.66,4.39,296.18,3.61,40.5,2.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,0,0.088,0,,1,0
S3_site473,CHEMBL918,PHENACEMIDE,-19.32,2.47,101,1.486,4.3,5.16,178.07,0.42,72.2,2.0,2.0,13,NC(=O)NC(=O)Cc1ccccc1,2,0,-0.866,0,,0,0
S1_site688,CHEMBL63857,PHENOLPHTHALEIN,-19.31,3.53,101,0.805,3.59,4.3,318.09,3.56,66.8,2.0,4.0,24,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2,0,-0.309,0,,0,0
S1_site1813,CHEMBL33986,BUTORPHANOL,-19.21,2.93,101,0.8,3.86,4.63,327.22,3.37,43.7,2.0,3.0,24,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,2,0,0.004,0,,0,0
S1_site680,CHEMBL521686,OLAPARIB,-19.14,3.33,101,0.598,3.75,4.5,434.18,2.35,86.4,1.0,4.0,32,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,4,0,-0.783,0,,0,0
